11839106,-0.0056,0.0881,0.0645
11849107,-0.0030,0.0079,0.0045
11859107,-0.0015,0.0153,0.0338
11869107,0.0254,-0.0652,0.0709
11879108,-0.1183,0.0157,0.0356
11889109,-0.0558,-0.0144,0.0711
11899109,0.0194,-0.0295,0.1223
11909110,-0.0182,0.0268,0.2048
11919109,0.0023,0.0167,0.1191
11929110,-0.0516,-0.0214,0.0857
11939111,-0.0260,-0.0460,0.1238
11949111,0.0501,0.0401,0.0292
11959113,-0.0046,0.0235,0.0592
11969113,-0.0296,0.0209,0.0598
11979113,-0.0407,0.0145,0.1095
11989113,-0.0288,-0.0589,0.1910
11999113,-0.0297,-0.0697,0.1608
12009115,0.0181,-0.0746,0.1161
12019117,-0.0024,-0.0861,0.1804
12029119,-0.0665,-0.0159,0.1960
12039121,-0.0419,-0.0619,0.1953
12049121,0.0086,-0.0253,0.1732
12059124,0.0616,-0.0161,0.1976
12069124,0.1037,-0.0607,0.2876
12079124,0.0622,-0.0499,0.2443
12089125,0.0562,-0.0522,0.1907
12099126,0.0509,0.0135,0.1888
12109127,-0.0180,0.0288,0.1898
12119127,-0.0225,-0.0689,0.2055
12129128,0.0193,-0.0810,0.3340
12139129,0.0766,-0.1188,0.3851
12149131,0.0707,-0.1380,0.3300
12159134,0.0529,-0.0505,0.2824
12169135,0.0649,-0.0389,0.3342
12179136,0.0779,-0.0882,0.3973
12189136,0.1436,-0.0770,0.3945
12199138,0.1066,-0.1189,0.4053
12209139,0.0227,-0.1025,0.3722
12219141,0.0867,-0.0915,0.4706
12229140,0.1485,-0.0847,0.4084
12239143,0.1235,-0.0971,0.3522
12249143,0.1565,-0.1235,0.3603
12259143,0.1253,-0.0773,0.3746
12269145,0.1431,-0.1270,0.3851
12279147,0.0521,-0.0835,0.2895
12289148,0.0839,-0.1099,0.2775
12299148,0.0659,-0.1471,0.2612
12309148,0.0825,-0.1525,0.3115
12319149,0.1570,-0.1386,0.2634
12329148,0.1425,-0.0482,0.3119
12339150,0.1689,-0.0317,0.2745
12349152,0.0635,0.0053,0.2265
12359153,0.0572,-0.1107,0.2546
12369154,0.1275,-0.0787,0.2633
12379156,0.1212,-0.0463,0.2293
12389157,0.0253,-0.1472,0.1516
12399160,-0.0018,-0.0239,0.0978
12409159,0.0069,-0.0541,0.1341
12419161,0.0059,-0.0877,0.0716
12429162,0.0073,-0.1019,-0.0191
12439163,0.0518,-0.0911,-0.0876
12449163,0.0468,-0.0997,-0.0397
12459164,0.1605,-0.0648,-0.0528
12469165,0.1643,-0.1117,-0.1065
12479165,0.1465,-0.0619,-0.1007
12489166,0.0579,0.0045,-0.1850
12499166,-0.0427,0.0515,-0.1390
12509167,-0.0213,-0.0590,-0.0880
12519169,-0.0385,-0.0564,-0.1538
12529170,-0.0168,-0.0686,-0.1386
12539172,-0.0238,-0.0318,-0.1786
12549175,-0.0706,-0.0616,-0.3035
12559182,0.0193,-0.0373,-0.4877
12569189,0.0001,-0.1065,-0.5557
12579196,0.0810,0.0113,-0.4946
12589195,0.0361,0.0187,-0.4892
12599198,-0.0799,0.0435,-0.4817
12609199,-0.0220,0.0482,-0.5287
12619199,0.0706,0.0078,-0.5496
12629200,-0.0468,0.0149,-0.4865
12639201,-0.0398,0.0111,-0.5748
12649202,0.0024,-0.0189,-0.6099
12659202,-0.1253,-0.0376,-0.6705
12669201,-0.2036,-0.0327,-0.7243
12679204,-0.1655,0.0116,-0.7557
12689205,-0.0505,-0.0854,-0.8391
12699206,0.0110,-0.0139,-0.8098
12709208,-0.0374,0.0135,-0.8707
12719208,-0.0819,0.0352,-0.8176
12729208,0.0294,0.0723,-0.8744
12739208,0.0018,0.0325,-0.8584
12749210,-0.0233,-0.0305,-0.8129
12759210,-0.0087,0.0063,-0.8278
12769210,-0.0259,-0.0254,-0.8118
12779210,-0.0544,-0.0503,-0.7128
12789210,-0.0911,-0.0731,-0.7300
12799210,-0.0021,-0.0580,-0.7564
12809210,-0.0422,-0.1014,-0.8712
12819210,0.0392,-0.1215,-0.7463
12829211,-0.0298,-0.0568,-0.7985
12839211,-0.1039,-0.0789,-0.7363
12849213,-0.0584,-0.0900,-0.6783
12859213,0.0012,-0.0596,-0.6212
12869212,-0.0366,-0.0269,-0.6719
